template_id,page_count,avg_words
tpl_article_featured-stories_2seg,476,1235.8865546218487
tpl_article_featured-stories_4seg,2,0.0
tpl_article_news_2seg,494,1010.8866396761133
tpl_article_news_4seg,1,0.0
tpl_brand_bikes_2seg,42,1716.5714285714287
tpl_brand_electric-vehicles_2seg,89,2000.0898876404494
tpl_brand_featured-stories_2seg,549,1339.2677595628415
tpl_brand_husqvarna-motorcycles_2seg,3,1108.6666666666667
tpl_brand_news_2seg,88,984.2272727272727
tpl_brand_one-electric-motorcycles_2seg,1,1162.0
tpl_brand_reviews_2seg,4,1666.25
tpl_brand_scooters_2seg,4,1963.0
tpl_category_Harley-Davidson-bikes_1seg,1,520.0
tpl_category_Nmotors-scooters_1seg,6,213.0
tpl_category_Triumph-bikes_1seg,1,509.0
tpl_category_about-us_1seg,6,546.0
tpl_category_adventure_1seg,6,419.0
tpl_category_aeroride-ev_1seg,6,298.0
tpl_category_aftek-motors-scooters_1seg,6,214.0
tpl_category_amo-electric-ev_1seg,6,289.0
tpl_category_ampere-ev_1seg,6,267.0
tpl_category_application_1seg,6,152.0
tpl_category_aprilia-bikes_1seg,6,357.0
tpl_category_aprilia-scooters_1seg,1,346.0
tpl_category_ather-energy-ev_1seg,5,319.0
tpl_category_ather-energy-scooters_1seg,1,319.0
tpl_category_atumobile-ev_1seg,5,262.0
tpl_category_avan-motors-scooters_1seg,4,214.0
tpl_category_avera-ev_1seg,4,237.0
tpl_category_avera-scooters-scooters_1seg,4,214.0
tpl_category_avon-ev_1seg,4,335.0
tpl_category_bajaj-bikes_1seg,4,486.0
tpl_category_bajaj-ev_1seg,1,231.0
tpl_category_bajaj-urbanite-scooters_1seg,4,214.0
tpl_category_banking-partners_1seg,4,152.0
tpl_category_battre-electric-mobility-ev_1seg,4,362.0
tpl_category_battre-electric-scooters-scooters_1seg,4,215.0
tpl_category_benelli-bikes_1seg,4,348.0
tpl_category_benling-india-ev_1seg,4,352.0
tpl_category_bgauss-bikes_1seg,1,213.0
tpl_category_bgauss-ev_1seg,4,310.0
tpl_category_bgauss-scooters_1seg,1,310.0
tpl_category_big-dog-motorcycles-scooters_1seg,4,215.0
tpl_category_biker-dost_1seg,1,107.0
tpl_category_bikes_1seg,4,426.0
tpl_category_bird-scooters_1seg,4,213.0
tpl_category_birla-e-bike-ev_1seg,4,422.0
tpl_category_bmw-bikes_1seg,2,510.0
tpl_category_bmw-scooters_1seg,1,240.0
tpl_category_boom-motors-ev_1seg,2,238.0
tpl_category_bounce-ev_1seg,2,238.0
tpl_category_bpg-scooters_1seg,2,213.0
tpl_category_bsa-motors-scooters_1seg,2,214.0
tpl_category_bsa-scooters_1seg,2,213.0
tpl_category_campaign-form_1seg,2,155.0
tpl_category_careers_1seg,2,527.0
tpl_category_cf-moto-bikes_1seg,2,326.0
tpl_category_cleveland-cyclewerks-scooters_1seg,2,214.0
tpl_category_commuter_1seg,2,393.0
tpl_category_crayon-motors-ev_1seg,2,261.0
tpl_category_cruiser_1seg,2,409.0
tpl_category_cyborg-ev_1seg,2,282.0
tpl_category_dao-ev_1seg,2,285.0
tpl_category_deltic-ev_1seg,2,306.0
tpl_category_demak-scooters_1seg,2,213.0
tpl_category_detel-ev-ev_1seg,2,238.0
tpl_category_devot-scooters_1seg,2,213.0
tpl_category_dispatch-ev-scooters_1seg,2,214.0
tpl_category_ducati-bikes_1seg,2,510.0
tpl_category_earth-energy-ev-ev_1seg,2,282.0
tpl_category_eeve-ev_1seg,2,333.0
tpl_category_eider-defunct-scooters_1seg,2,214.0
tpl_category_eko-scooters_1seg,2,213.0
tpl_category_electric-vehicles_1seg,2,662.0
tpl_category_emflux-scooters_1seg,2,213.0
tpl_category_emote-electric-scooters_1seg,2,214.0
tpl_category_emotorad-ev_1seg,2,213.0
tpl_category_enigma-ev_1seg,1,237.0
tpl_category_enigma-scooters_1seg,2,237.0
tpl_category_essel-energy-ev_1seg,2,263.0
tpl_category_eveium-ev_1seg,2,279.0
tpl_category_everve-motors-scooters_1seg,2,214.0
tpl_category_evoke-motorcycles-scooters_1seg,2,214.0
tpl_category_evolet-ev_1seg,2,310.0
tpl_category_evtric-motors-ev_1seg,2,284.0
tpl_category_expert-articles_1seg,1,344.0
tpl_category_fb-mondial-scooters_1seg,2,214.0
tpl_category_featured-stories_1seg,2,331.0
tpl_category_fidato-evtech-ev_1seg,2,356.0
tpl_category_firefox-ev_1seg,2,213.0
tpl_category_flyrides-ev_1seg,1,323.0
tpl_category_flyrides-scooters_1seg,2,323.0
tpl_category_fuel-prices_1seg,2,1042.0
tpl_category_geliose-ev_1seg,2,234.0
tpl_category_gemopai-ev_1seg,2,285.0
tpl_category_gleev-motors-scooters_1seg,2,214.0
tpl_category_global-motors-scooters_1seg,2,214.0
tpl_category_gowel-ev_1seg,2,235.0
tpl_category_gravton-motors-ev_1seg,2,234.0
tpl_category_greta-electric-ev_1seg,2,238.0
tpl_category_grp-ev-ev_1seg,2,292.0
tpl_category_gt-force-ev_1seg,2,409.0
tpl_category_harison-scooters_1seg,2,213.0
tpl_category_harley-davidson-bikes_1seg,2,520.0
tpl_category_hayasa-ev_1seg,2,310.0
tpl_category_hcd-india-ev_1seg,2,238.0
tpl_category_hero-bikes_1seg,2,496.0
tpl_category_hero-electric-ev_1seg,2,343.0
tpl_category_hero-ev_1seg,1,294.0
tpl_category_hero-honda-scooters_1seg,1,214.0
tpl_category_hero-lectro-ev_1seg,1,214.0
tpl_category_hero-scooters_1seg,1,485.0
tpl_category_honda-bikes_1seg,1,489.0
tpl_category_honda-ev_1seg,1,235.0
tpl_category_honda-scooters_1seg,1,404.0
tpl_category_hop-electric-ev_1seg,1,288.0
tpl_category_husqvarna-motorcycles-bikes_1seg,1,294.0
tpl_category_hyosung-scooters_1seg,1,213.0
tpl_category_ideal-jawa-scooters_1seg,1,214.0
tpl_category_indian-bikes_1seg,1,478.0
tpl_category_indian_2seg,1,1176.0
tpl_category_indus-scooters_1seg,1,213.0
tpl_category_ivoomi-ev_1seg,1,305.0
tpl_category_jawa-bikes_1seg,1,402.0
tpl_category_jitendra-ev-ev_1seg,1,317.0
tpl_category_joy-e-bike-ev_1seg,1,462.0
tpl_category_kabira-mobility-ev_1seg,1,454.0
tpl_category_kabirdass-scooters_1seg,1,213.0
tpl_category_kawasaki-bikes_1seg,1,494.0
tpl_category_keeway-bikes_1seg,1,393.0
tpl_category_keeway-scooters_1seg,1,266.0
tpl_category_kinetic-green-ev_1seg,1,311.0
tpl_category_komaki-ev_1seg,1,436.0
tpl_category_ksl-cleantech-scooters_1seg,1,214.0
tpl_category_ktm-bikes_1seg,1,486.0
tpl_category_ktm-scooters_1seg,1,213.0
tpl_category_kymco-scooters_1seg,1,213.0
tpl_category_kyte-energy-ev_1seg,1,214.0
tpl_category_lambretta-scooters_1seg,1,213.0
tpl_category_lectrix-ev-ev_1seg,1,262.0
tpl_category_lectrix-ev-scooters_1seg,1,262.0
tpl_category_li-ions-elektrik-solutions-ev_1seg,1,241.0
tpl_category_lml-scooters_1seg,1,213.0
tpl_category_lohia-ev_1seg,1,263.0
tpl_category_mNgo-ev_1seg,1,254.0
tpl_category_mahindra-bikes_1seg,1,239.0
tpl_category_matter-scooters_1seg,1,213.0
tpl_category_menzamotors-scooters_1seg,1,214.0
tpl_category_merico-electric-ev_1seg,1,338.0
tpl_category_moto-guzzi-bikes_1seg,1,214.0
tpl_category_moto-guzzi-scooters_1seg,1,214.0
tpl_category_moto-morini-bikes_1seg,1,214.0
tpl_category_moto-morini-scooters_1seg,1,239.0
tpl_category_motovolt-ev_1seg,1,230.0
tpl_category_mv-agusta-scooters_1seg,1,214.0
tpl_category_mx-moto-scooters_1seg,1,214.0
tpl_category_nahak-motors-scooters_1seg,1,214.0
tpl_category_nds-eco-motors-ev_1seg,1,271.0
tpl_category_news_1seg,1,348.0
tpl_category_nexzu-ev_1seg,1,213.0
tpl_category_nij-automotive-ev_1seg,1,315.0
tpl_category_norton-scooters_1seg,1,214.0
tpl_category_numeros-motors-ev_1seg,1,236.0
tpl_category_oben-ev_1seg,1,233.0
tpl_category_odysse-electric-ev_1seg,1,336.0
tpl_category_okaya-electric-ev_1seg,1,390.0
tpl_category_okinawa-ev_1seg,1,377.0
tpl_category_ola-electric-bikes_1seg,1,237.0
tpl_category_ola-electric-ev_1seg,1,368.0
tpl_category_ola-electric-scooters_1seg,1,342.0
tpl_category_one-electric-motorcycles-ev_1seg,1,240.0
tpl_category_one-moto-ev_1seg,1,283.0
tpl_category_orxa-scooters_1seg,1,213.0
tpl_category_palatino-scooters_1seg,1,213.0
tpl_category_peugeot-scooters_1seg,1,213.0
tpl_category_piaggio-scooters_1seg,1,231.0
tpl_category_poise-ev_1seg,1,260.0
tpl_category_polaris-scooters_1seg,1,213.0
tpl_category_polarity-smart-ev_1seg,1,261.0
tpl_category_prevail-electric-ev_1seg,1,285.0
tpl_category_privacy-policy_1seg,1,5394.0
tpl_category_pure-ev-ev_1seg,1,372.0
tpl_category_qj-motor-bikes_1seg,1,322.0
tpl_category_raftaar-ev_1seg,1,311.0
tpl_category_raftaar-scooters-scooters_1seg,1,214.0
tpl_category_rajdoot-scooters_1seg,1,213.0
tpl_category_rbseva-ev_1seg,1,303.0
tpl_category_regalraptor-scooters_1seg,1,214.0
tpl_category_reviews_1seg,1,345.0
tpl_category_reviews_2seg,1,1343.0
tpl_category_revolt-ev_1seg,1,264.0
tpl_category_rowwet-ev_1seg,1,339.0
tpl_category_royal-enfield-bikes_1seg,1,504.0
tpl_category_rugged-ev_1seg,1,237.0
tpl_category_scooters_1seg,1,374.0
tpl_category_segway-scooters_1seg,1,213.0
tpl_category_ses-electric-scooters_1seg,1,214.0
tpl_category_shema-e-vehicle-ev_1seg,1,358.0
tpl_category_simple-energy-ev_1seg,1,316.0
tpl_category_simple-energy-scooters_1seg,1,316.0
tpl_category_sokudo-scooters_1seg,1,328.0
tpl_category_sports_1seg,1,399.0
tpl_category_srivaru-motors-ev_1seg,1,233.0
tpl_category_stella-automobili-ev_1seg,1,291.0
tpl_category_street_1seg,1,406.0
tpl_category_super-eco-ev_1seg,1,286.0
tpl_category_super-eco-scooters-scooters_1seg,1,215.0
tpl_category_super-soco-scooters_1seg,1,214.0
tpl_category_suzuki-bikes_1seg,1,430.0
tpl_category_svitch-bike-ev_1seg,1,214.0
tpl_category_swm-scooters_1seg,1,213.0
tpl_category_sym-scooters_1seg,1,213.0
tpl_category_techo-electra-ev_1seg,1,315.0
tpl_category_terms-and-conditions_1seg,1,3640.0
tpl_category_terra-scooters_1seg,1,213.0
tpl_category_thunderbolt-ev_1seg,1,213.0
tpl_category_tork-ev_1seg,1,236.0
tpl_category_toutche-electric-ev_1seg,1,214.0
tpl_category_trinity-motors-ev_1seg,1,409.0
tpl_category_triumph-bikes_1seg,1,509.0
tpl_category_trouve-motor-scooters_1seg,1,214.0
tpl_category_tunwal-ev_1seg,1,445.0
tpl_category_ujaas-energy-ev_1seg,1,366.0
tpl_category_ujaas-scooters-scooters_1seg,1,214.0
tpl_category_ultra-motor-scooters_1seg,1,214.0
tpl_category_ultraviolette-ev_1seg,1,292.0
tpl_category_unitedmotors-scooters_1seg,1,214.0
tpl_category_vardenchi-scooters_1seg,1,213.0
tpl_category_velev-motors-ev_1seg,1,264.0
tpl_category_vespa-scooters_1seg,1,318.0
tpl_category_vibgyor-scooters_1seg,1,213.0
tpl_category_vibgyor_2seg,1,945.0
tpl_category_victory-scooters_1seg,1,213.0
tpl_category_viertric-ev_1seg,1,285.0
tpl_category_warivo-motors-ev_1seg,1,332.0
tpl_category_white-carbon-motors-ev_1seg,1,263.0
tpl_category_wroley-ev_1seg,1,285.0
tpl_category_xs-bikes-scooters_1seg,1,214.0
tpl_category_yamaha-bikes_1seg,1,482.0
tpl_category_yezdi-bikes_1seg,1,288.0
tpl_category_yezdi-motorcycles-scooters_1seg,1,214.0
tpl_category_yobykes-ev_1seg,1,260.0
tpl_category_yukie-ev_1seg,1,213.0
