id,crawl_id,url,page_type,template_id,ttfb,fcp,lcp,cls,inp,speed_index,performance_score,js_size,css_size,img_size,total_size,tested_at
11,crawl_20260923_234236,https://www.drivio.in/,homepage,tpl_homepage,0.165,0.412,0.536,0.0,46.1,0.494,100.0,273346,178444,20081,561953,2026-09-23 18:24:43
14,crawl_20260923_234236,https://www.drivio.in/bikes/best,brand,tpl_brand_bikes_2seg,6.783,6.98,9.074,0.0,200.0,8.376,45.0,266802,176008,205496,742164,2026-09-23 18:24:43
17,crawl_20260923_234236,https://www.drivio.in/bikes/commuter,brand,tpl_brand_bikes_2seg,1.498,1.698,2.098,0.0,173.2,2.038,90.0,266802,174270,0,474616,2026-09-23 18:24:43
13,crawl_20260923_234236,https://www.drivio.in/bikes/latest,brand,tpl_brand_bikes_2seg,8.731,8.948,11.632,0.0,200.0,10.738,45.0,266802,176008,41396,578082,2026-09-23 18:24:43
25,crawl_20260923_234236,https://www.drivio.in/bikes/sports,brand,tpl_brand_bikes_2seg,0.287,0.532,0.692,0.0,55.8,0.638,100.0,266802,174270,0,474373,2026-09-23 18:24:43
26,crawl_20260923_234236,https://www.drivio.in/commuter,category,tpl_category_commuter_1seg,1.864,2.068,2.688,0.0,200.0,2.482,45.0,247561,242731,102204,639159,2026-09-23 18:24:43
27,crawl_20260923_234236,https://www.drivio.in/electric-vehicles,category,tpl_category_electric-vehicles_1seg,0.169,0.432,0.562,0.0,45.4,0.518,100.0,174234,174704,0,491201,2026-09-23 18:24:43
36,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/aeroride/bravo,model,tpl_model_electric-vehicles_3seg,0.279,0.5,0.65,0.0,53.1,0.6,100.0,268203,177147,9952,528552,2026-09-23 18:24:43
29,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/bajaj/chetak,model,tpl_model_electric-vehicles_3seg,0.32,0.544,0.707,0.0,117.7,0.653,100.0,717005,185209,88149,1078666,2026-09-23 18:24:43
34,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/birla-e-bike/birla-dms,model,tpl_model_electric-vehicles_3seg,0.496,0.764,0.993,0.0,159.3,0.917,100.0,716994,184892,126751,1114103,2026-09-23 18:24:43
41,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/birla-e-bike/birla-e-smart,model,tpl_model_electric-vehicles_3seg,0.427,0.664,0.863,0.0,140.9,0.797,100.0,716992,186220,127506,1114089,2026-09-23 18:24:43
31,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/bounce/infinity-e1,model,tpl_model_electric-vehicles_3seg,0.454,0.904,1.175,0.0,140.2,1.085,100.0,268203,185420,13558,544521,2026-09-23 18:24:43
39,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/hero-electric/nyx,model,tpl_model_electric-vehicles_3seg,0.208,0.512,0.666,0.0,131.6,0.614,100.0,716998,189502,129440,1120408,2026-09-23 18:24:43
32,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/hop-electric/leo,model,tpl_model_electric-vehicles_3seg,0.948,1.176,1.529,0.0,200.0,1.411,90.0,716999,185534,130493,1117729,2026-09-23 18:24:43
30,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/hop-electric/lyf,model,tpl_model_electric-vehicles_3seg,0.486,0.976,1.269,0.0,200.0,1.171,100.0,717053,183932,134047,1120594,2026-09-23 18:24:43
28,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/joy-e-bike/monster,model,tpl_model_electric-vehicles_3seg,0.194,0.416,0.541,0.0,113.1,0.499,100.0,717011,186626,141062,1132272,2026-09-23 18:24:43
40,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/joy-e-bike/wolf-plus,model,tpl_model_electric-vehicles_3seg,0.27,0.672,0.874,0.0,72.1,0.806,100.0,268203,186537,0,528686,2026-09-23 18:24:43
35,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/kinetic-green/zing,model,tpl_model_electric-vehicles_3seg,0.261,0.512,0.666,0.0,56.5,0.614,100.0,268203,177147,11704,531689,2026-09-23 18:24:43
12,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/latest,brand,tpl_brand_electric-vehicles_2seg,7.85,8.076,10.499,0.0,200.0,9.691,45.0,266802,176008,46015,598762,2026-09-23 18:24:43
38,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/pure-ev/etrance-neo,model,tpl_model_electric-vehicles_3seg,0.219,0.428,0.556,0.0,124.4,0.514,100.0,716991,185217,130105,1116793,2026-09-23 18:24:43
33,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/tvs/iqube,comparison,tpl_comparison_electric-vehicles_3seg,0.221,0.612,0.796,0.0,163.4,0.734,100.0,717010,183243,118167,1104497,2026-09-23 18:24:43
37,crawl_20260923_234236,https://www.drivio.in/electric-vehicles/ultraviolette/f77-mach-2,model,tpl_model_electric-vehicles_3seg,0.187,0.408,0.53,0.0,129.1,0.49,100.0,717049,184136,73845,1062443,2026-09-23 18:24:43
